,ScientificName,CommonName,SC,SMC,MUCode,MUName,Season,Region,level3,Macrogroup
9529,Aneides lugubris,Arboreal Salamander,aARSAx,aARSAx-y1,4317,Mediterranean California Lower Montane Black Oak-Conifer Forest and Woodland                       ,year-round,Northwest,4317,Californian Forest & Woodland
9530,Aneides lugubris,Arboreal Salamander,aARSAx,aARSAx-y4,4317,Mediterranean California Lower Montane Black Oak-Conifer Forest and Woodland                       ,year-round,Southwest,4317,Californian Forest & Woodland
8835,Plethodon caddoensis,Caddo Mountain Salamander,aCMSAx,aCMSAx-y6,4122,Ouachita Montane Oak Forest                                                                        ,year-round,Southeast,4122,Southern & South-Central Oak - Hickory - Pine Forest & Woodland
3737,Plethodon caddoensis,Caddo Mountain Salamander,aCMSAx,aCMSAx-y6,4115,Ozark-Ouachita Dry-Mesic Oak Forest                                                                ,year-round,Southeast,4115,Southern & South-Central Oak - Hickory - Pine Forest & Woodland
3911,Plethodon caddoensis,Caddo Mountain Salamander,aCMSAx,aCMSAx-y6,4207,Ozark-Ouachita Mesic Hardwood Forest                                                               ,year-round,Southeast,4207,Central Midwest Mesic Forest
5159,Plethodon kentucki,Cumberland Plateau Salamander,aCPSAx,aCPSAx-y6,4401,Southern and Central Appalachian Cove Forest                                                       ,year-round,Southeast,4401,Appalachian-Central Interior-Northeastern Mesic Forest
1618,Plethodon kentucki,Cumberland Plateau Salamander,aCPSAx,aCPSAx-y6,4402,South-Central Interior Mesophytic Forest                                                           ,year-round,Southeast,4402,Appalachian-Central Interior-Northeastern Mesic Forest
9491,Batrachoseps attenuatus,California Slender Salamander,aCSLSx,aCSLSx-y1,4606,North Pacific Maritime Mesic-Wet Douglas-fir-Western Hemlock Forest                                ,year-round,Northwest,4606,Vancouverian Lowland & Montane Forest
967,Batrachoseps attenuatus,California Slender Salamander,aCSLSx,aCSLSx-y1,4545,California Coastal Closed-Cone Conifer Forest and Woodland                                         ,year-round,Northwest,4545,Californian Forest & Woodland
6506,Batrachoseps attenuatus,California Slender Salamander,aCSLSx,aCSLSx-y1,4607,North Pacific Mesic Western Hemlock-Silver Fir Forest                                              ,year-round,Northwest,4607,Vancouverian Lowland & Montane Forest
4782,Batrachoseps attenuatus,California Slender Salamander,aCSLSx,aCSLSx-y1,4613,North Pacific Hypermaritime Western Red-cedar-Western Hemlock Forest                               ,year-round,Northwest,4613,Vancouverian Lowland & Montane Forest
9623,Batrachoseps attenuatus,California Slender Salamander,aCSLSx,aCSLSx-y1,4320,Mediterranean California Mixed Evergreen Forest                                                    ,year-round,Northwest,4320,Californian Forest & Woodland
6463,Batrachoseps attenuatus,California Slender Salamander,aCSLSx,aCSLSx-y1,4547,North Pacific Dry-Mesic Silver Fir-Western Hemlock-Douglas-fir Forest                              ,year-round,Northwest,4547,Vancouverian Lowland & Montane Forest
9552,Batrachoseps attenuatus,California Slender Salamander,aCSLSx,aCSLSx-y1,4317,Mediterranean California Lower Montane Black Oak-Conifer Forest and Woodland                       ,year-round,Northwest,4317,Californian Forest & Woodland
2097,Batrachoseps attenuatus,California Slender Salamander,aCSLSx,aCSLSx-y1,8401,Introduced Upland Vegetation - Treed,year-round,Northwest,8401,Introduced & Semi Natural Vegetation
4222,Batrachoseps attenuatus,California Slender Salamander,aCSLSx,aCSLSx-y1,4519,Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland                               ,year-round,Northwest,4519,Southern Vancouverian Montane-Foothill Forest
9841,Batrachoseps attenuatus,California Slender Salamander,aCSLSx,aCSLSx-y1,4148,North Pacific Broadleaf Landslide Forest and Shrubland                                             ,year-round,Northwest,4148,Vancouverian Lowland & Montane Forest
7540,Batrachoseps attenuatus,California Slender Salamander,aCSLSx,aCSLSx-y1,4601,California Coastal Redwood Forest                                                                  ,year-round,Northwest,4601,Vancouverian Lowland & Montane Forest
6088,Batrachoseps attenuatus,California Slender Salamander,aCSLSx,aCSLSx-y1,4338,North Pacific Lowland Mixed Hardwood-Conifer Forest and Woodland                                   ,year-round,Northwest,4338,Vancouverian Lowland & Montane Forest
7585,Batrachoseps attenuatus,California Slender Salamander,aCSLSx,aCSLSx-y1,4604,North Pacific Hypermaritime Sitka Spruce Forest                                                    ,year-round,Northwest,4604,Vancouverian Lowland & Montane Forest
416,Batrachoseps attenuatus,California Slender Salamander,aCSLSx,aCSLSx-y1,4522,North Pacific Maritime Dry-Mesic Douglas-fir-Western Hemlock Forest                                ,year-round,Northwest,4522,Vancouverian Lowland & Montane Forest
2370,Batrachoseps attenuatus,California Slender Salamander,aCSLSx,aCSLSx-y1,8203,Managed Tree Plantation,year-round,Northwest,8203,Eastern North American Ruderal Forest
1963,Batrachoseps attenuatus,California Slender Salamander,aCSLSx,aCSLSx-y1,8106,Harvested Forest - Northwestern Conifer Regeneration,year-round,Northwest,8106,Recently Disturbed or Modified
8403,Batrachoseps attenuatus,California Slender Salamander,aCSLSx,aCSLSx-y1,8201,Deciduous Plantation,year-round,Northwest,8201,Southeastern North American Ruderal Forest
920,Batrachoseps attenuatus,California Slender Salamander,aCSLSx,aCSLSx-y1,4319,North Pacific Dry Douglas-fir-(Madrone) Forest and Woodland                                        ,year-round,Northwest,4319,Southern Vancouverian Dry Foothill Forest
7199,Batrachoseps attenuatus,California Slender Salamander,aCSLSx,aCSLSx-y1,8202,Evergreen Plantation or Managed Pine,year-round,Northwest,8202,Southeastern North American Ruderal Forest
9692,Batrachoseps attenuatus,California Slender Salamander,aCSLSx,aCSLSx-y1,4603,Mediterranean California Mesic Mixed Conifer Forest and Woodland                                   ,year-round,Northwest,4603,Southern Vancouverian Montane-Foothill Forest
4364,Batrachoseps attenuatus,California Slender Salamander,aCSLSx,aCSLSx-y1,4533,Sierra Nevada Subalpine Lodgepole Pine Forest and Woodland                                         ,year-round,Northwest,4533,Vancouverian Subalpine Forest
6150,Batrachoseps attenuatus,California Slender Salamander,aCSLSx,aCSLSx-y1,9811,North Pacific Lowland Riparian Forest and Shrubland                                                ,year-round,Northwest,9811,"Vancouverian Lowland Marsh, Wet Meadow & Shrubland"
4223,Batrachoseps attenuatus,California Slender Salamander,aCSLSx,aCSLSx-y4,4519,Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland                               ,year-round,Southwest,4519,Southern Vancouverian Montane-Foothill Forest
2098,Batrachoseps attenuatus,California Slender Salamander,aCSLSx,aCSLSx-y4,8401,Introduced Upland Vegetation - Treed,year-round,Southwest,8401,Introduced & Semi Natural Vegetation
1964,Batrachoseps attenuatus,California Slender Salamander,aCSLSx,aCSLSx-y4,8106,Harvested Forest - Northwestern Conifer Regeneration,year-round,Southwest,8106,Recently Disturbed or Modified
7541,Batrachoseps attenuatus,California Slender Salamander,aCSLSx,aCSLSx-y4,4601,California Coastal Redwood Forest                                                                  ,year-round,Southwest,4601,Vancouverian Lowland & Montane Forest
2371,Batrachoseps attenuatus,California Slender Salamander,aCSLSx,aCSLSx-y4,8203,Managed Tree Plantation,year-round,Southwest,8203,Eastern North American Ruderal Forest
9624,Batrachoseps attenuatus,California Slender Salamander,aCSLSx,aCSLSx-y4,4320,Mediterranean California Mixed Evergreen Forest                                                    ,year-round,Southwest,4320,Californian Forest & Woodland
7586,Batrachoseps attenuatus,California Slender Salamander,aCSLSx,aCSLSx-y4,4604,North Pacific Hypermaritime Sitka Spruce Forest                                                    ,year-round,Southwest,4604,Vancouverian Lowland & Montane Forest
6151,Batrachoseps attenuatus,California Slender Salamander,aCSLSx,aCSLSx-y4,9811,North Pacific Lowland Riparian Forest and Shrubland                                                ,year-round,Southwest,9811,"Vancouverian Lowland Marsh, Wet Meadow & Shrubland"
968,Batrachoseps attenuatus,California Slender Salamander,aCSLSx,aCSLSx-y4,4545,California Coastal Closed-Cone Conifer Forest and Woodland                                         ,year-round,Southwest,4545,Californian Forest & Woodland
9553,Batrachoseps attenuatus,California Slender Salamander,aCSLSx,aCSLSx-y4,4317,Mediterranean California Lower Montane Black Oak-Conifer Forest and Woodland                       ,year-round,Southwest,4317,Californian Forest & Woodland
9693,Batrachoseps attenuatus,California Slender Salamander,aCSLSx,aCSLSx-y4,4603,Mediterranean California Mesic Mixed Conifer Forest and Woodland                                   ,year-round,Southwest,4603,Southern Vancouverian Montane-Foothill Forest
4365,Batrachoseps attenuatus,California Slender Salamander,aCSLSx,aCSLSx-y4,4533,Sierra Nevada Subalpine Lodgepole Pine Forest and Woodland                                         ,year-round,Southwest,4533,Vancouverian Subalpine Forest
141,Osteopilus septentrionalis,Cuban Treefrog,aCUTRx,aCUTRx-y6,9838,Southern Coastal Plain Hydric Hammock                                                              ,year-round,Southeast,9838,Southern Coastal Plain Evergreen Hardwood-Conifer Swamp
7681,Osteopilus septentrionalis,Cuban Treefrog,aCUTRx,aCUTRx-y6,9301,Atlantic Coastal Plain Nonriverine Swamp and Wet Hardwood Forest  - Taxodium/Nyssa Modifier        ,year-round,Southeast,9301,Southern Coastal Plain Basin Swamp & Flatwoods
2578,Osteopilus septentrionalis,Cuban Treefrog,aCUTRx,aCUTRx-y6,9302,Atlantic Coastal Plain Nonriverine Swamp and Wet Hardwood Forest - Oak Dominated Modifier          ,year-round,Southeast,9302,Southern Coastal Plain Basin Swamp & Flatwoods
237,Osteopilus septentrionalis,Cuban Treefrog,aCUTRx,aCUTRx-y6,9852,Southern Coastal Plain Blackwater River Floodplain Forest                                          ,year-round,Southeast,9852,Southern Coastal Plain Floodplain Forest
4079,Osteopilus septentrionalis,Cuban Treefrog,aCUTRx,aCUTRx-y6,4132,South Florida Hardwood Hammock                                                                     ,year-round,Southeast,4132,Caribbean Coastal Lowland Dry Forest
7646,Osteopilus septentrionalis,Cuban Treefrog,aCUTRx,aCUTRx-y6,9238,South Florida Bayhead Swamp                                                                        ,year-round,Southeast,9238,Caribbean Swamp
3941,Eurycea lucifuga,Cave Salamander,aCVSAx,aCVSAx-y2,4207,Ozark-Ouachita Mesic Hardwood Forest                                                               ,year-round,Upper Midwest,4207,Central Midwest Mesic Forest
5456,Eurycea lucifuga,Cave Salamander,aCVSAx,aCVSAx-y2,9851,East Gulf Coastal Plain Small Stream and River Floodplain Forest                                   ,year-round,Upper Midwest,9851,Southern Coastal Plain Floodplain Forest
5506,Eurycea lucifuga,Cave Salamander,aCVSAx,aCVSAx-y2,4103,East Gulf Coastal Plain Northern Loess Plain Oak-Hickory Upland - Hardwood Modifier                ,year-round,Upper Midwest,4103,Southern & South-Central Oak - Hickory - Pine Forest & Woodland
3393,Eurycea lucifuga,Cave Salamander,aCVSAx,aCVSAx-y2,4204,West Gulf Coastal Plain Mesic Hardwood Forest                                                      ,year-round,Upper Midwest,4204,Southern Mesic Mixed Broadleaf Forest
8307,Eurycea lucifuga,Cave Salamander,aCVSAx,aCVSAx-y2,4331,Appalachian Hemlock-Hardwood Forest                                                                ,year-round,Upper Midwest,4331,Appalachian-Central Interior-Northeastern Mesic Forest
9014,Eurycea lucifuga,Cave Salamander,aCVSAx,aCVSAx-y2,4205,East Gulf Coastal Plain Northern Mesic Hardwood Forest                                             ,year-round,Upper Midwest,4205,Southern Mesic Mixed Broadleaf Forest
1746,Eurycea lucifuga,Cave Salamander,aCVSAx,aCVSAx-y2,4116,Southern Interior Low Plateau Dry-Mesic Oak Forest                                                 ,year-round,Upper Midwest,4116,Southern & South-Central Oak - Hickory - Pine Forest & Woodland
3774,Eurycea lucifuga,Cave Salamander,aCVSAx,aCVSAx-y2,4115,Ozark-Ouachita Dry-Mesic Oak Forest                                                                ,year-round,Upper Midwest,4115,Southern & South-Central Oak - Hickory - Pine Forest & Woodland
3102,Eurycea lucifuga,Cave Salamander,aCVSAx,aCVSAx-y2,4330,Central Appalachian Oak and Pine Forest                                                            ,year-round,Upper Midwest,4330,Appalachian-Northeastern Oak - Hardwood - Pine Forest & Woodland
9327,Eurycea lucifuga,Cave Salamander,aCVSAx,aCVSAx-y2,9850,South-Central Interior Small Stream and Riparian                                                   ,year-round,Upper Midwest,9850,Central Hardwoods Floodplain Forest
1594,Eurycea lucifuga,Cave Salamander,aCVSAx,aCVSAx-y2,4402,South-Central Interior Mesophytic Forest                                                           ,year-round,Upper Midwest,4402,Appalachian-Central Interior-Northeastern Mesic Forest
8042,Eurycea lucifuga,Cave Salamander,aCVSAx,aCVSAx-y2,4114,Northeastern Interior Dry-Mesic Oak Forest                                                         ,year-round,Upper Midwest,4114,Appalachian-Northeastern Oak - Hardwood - Pine Forest & Woodland
8132,Eurycea lucifuga,Cave Salamander,aCVSAx,aCVSAx-y2,4125,Southern and Central Appalachian Oak Forest                                                        ,year-round,Upper Midwest,4125,Appalachian-Northeastern Oak - Hardwood - Pine Forest & Woodland
1839,Eurycea lucifuga,Cave Salamander,aCVSAx,aCVSAx-y2,4313,Northern Atlantic Coastal Plain Dry Hardwood Forest                                                ,year-round,Upper Midwest,4313,Southern & South-Central Oak - Hickory - Pine Forest & Woodland
5790,Eurycea lucifuga,Cave Salamander,aCVSAx,aCVSAx-y2,4126,Allegheny-Cumberland Dry Oak Forest and Woodland - Hardwood                                        ,year-round,Upper Midwest,4126,Appalachian-Northeastern Oak - Hardwood - Pine Forest & Woodland
1747,Eurycea lucifuga,Cave Salamander,aCVSAx,aCVSAx-y3,4116,Southern Interior Low Plateau Dry-Mesic Oak Forest                                                 ,year-round,Northeast,4116,Southern & South-Central Oak - Hickory - Pine Forest & Woodland
3263,Eurycea lucifuga,Cave Salamander,aCVSAx,aCVSAx-y3,4104,Northeastern Interior Dry Oak Forest-Hardwood Modifier                                             ,year-round,Northeast,4104,Appalachian-Northeastern Oak - Hardwood - Pine Forest & Woodland
8308,Eurycea lucifuga,Cave Salamander,aCVSAx,aCVSAx-y3,4331,Appalachian Hemlock-Hardwood Forest                                                                ,year-round,Northeast,4331,Appalachian-Central Interior-Northeastern Mesic Forest
8655,Eurycea lucifuga,Cave Salamander,aCVSAx,aCVSAx-y3,4334,Southern Ridge and Valley Dry Calcareous Forest                                                    ,year-round,Northeast,4334,Appalachian-Northeastern Oak - Hardwood - Pine Forest & Woodland
9328,Eurycea lucifuga,Cave Salamander,aCVSAx,aCVSAx-y3,9850,South-Central Interior Small Stream and Riparian                                                   ,year-round,Northeast,9850,Central Hardwoods Floodplain Forest
8043,Eurycea lucifuga,Cave Salamander,aCVSAx,aCVSAx-y3,4114,Northeastern Interior Dry-Mesic Oak Forest                                                         ,year-round,Northeast,4114,Appalachian-Northeastern Oak - Hardwood - Pine Forest & Woodland
1595,Eurycea lucifuga,Cave Salamander,aCVSAx,aCVSAx-y3,4402,South-Central Interior Mesophytic Forest                                                           ,year-round,Northeast,4402,Appalachian-Central Interior-Northeastern Mesic Forest
8133,Eurycea lucifuga,Cave Salamander,aCVSAx,aCVSAx-y3,4125,Southern and Central Appalachian Oak Forest                                                        ,year-round,Northeast,4125,Appalachian-Northeastern Oak - Hardwood - Pine Forest & Woodland
5144,Eurycea lucifuga,Cave Salamander,aCVSAx,aCVSAx-y3,4401,Southern and Central Appalachian Cove Forest                                                       ,year-round,Northeast,4401,Appalachian-Central Interior-Northeastern Mesic Forest
1840,Eurycea lucifuga,Cave Salamander,aCVSAx,aCVSAx-y3,4313,Northern Atlantic Coastal Plain Dry Hardwood Forest                                                ,year-round,Northeast,4313,Southern & South-Central Oak - Hickory - Pine Forest & Woodland
6517,Eurycea lucifuga,Cave Salamander,aCVSAx,aCVSAx-y3,4106,Northeastern Interior Dry Oak Forest - Mixed Modifier                                              ,year-round,Northeast,4106,Appalachian-Northeastern Oak - Hardwood - Pine Forest & Woodland
5791,Eurycea lucifuga,Cave Salamander,aCVSAx,aCVSAx-y3,4126,Allegheny-Cumberland Dry Oak Forest and Woodland - Hardwood                                        ,year-round,Northeast,4126,Appalachian-Northeastern Oak - Hardwood - Pine Forest & Woodland
3103,Eurycea lucifuga,Cave Salamander,aCVSAx,aCVSAx-y3,4330,Central Appalachian Oak and Pine Forest                                                            ,year-round,Northeast,4330,Appalachian-Northeastern Oak - Hardwood - Pine Forest & Woodland
3773,Eurycea lucifuga,Cave Salamander,aCVSAx,aCVSAx-y6,4115,Ozark-Ouachita Dry-Mesic Oak Forest                                                                ,year-round,Southeast,4115,Southern & South-Central Oak - Hickory - Pine Forest & Woodland
5143,Eurycea lucifuga,Cave Salamander,aCVSAx,aCVSAx-y6,4401,Southern and Central Appalachian Cove Forest                                                       ,year-round,Southeast,4401,Appalachian-Central Interior-Northeastern Mesic Forest
1745,Eurycea lucifuga,Cave Salamander,aCVSAx,aCVSAx-y6,4116,Southern Interior Low Plateau Dry-Mesic Oak Forest                                                 ,year-round,Southeast,4116,Southern & South-Central Oak - Hickory - Pine Forest & Woodland
8889,Eurycea lucifuga,Cave Salamander,aCVSAx,aCVSAx-y6,4128,East Gulf Coastal Plain Northern Loess Bluff Forest                                                ,year-round,Southeast,4128,Southern Mesic Mixed Broadleaf Forest
3101,Eurycea lucifuga,Cave Salamander,aCVSAx,aCVSAx-y6,4330,Central Appalachian Oak and Pine Forest                                                            ,year-round,Southeast,4330,Appalachian-Northeastern Oak - Hardwood - Pine Forest & Woodland
8654,Eurycea lucifuga,Cave Salamander,aCVSAx,aCVSAx-y6,4334,Southern Ridge and Valley Dry Calcareous Forest                                                    ,year-round,Southeast,4334,Appalachian-Northeastern Oak - Hardwood - Pine Forest & Woodland
5789,Eurycea lucifuga,Cave Salamander,aCVSAx,aCVSAx-y6,4126,Allegheny-Cumberland Dry Oak Forest and Woodland - Hardwood                                        ,year-round,Southeast,4126,Appalachian-Northeastern Oak - Hardwood - Pine Forest & Woodland
3392,Eurycea lucifuga,Cave Salamander,aCVSAx,aCVSAx-y6,4204,West Gulf Coastal Plain Mesic Hardwood Forest                                                      ,year-round,Southeast,4204,Southern Mesic Mixed Broadleaf Forest
3940,Eurycea lucifuga,Cave Salamander,aCVSAx,aCVSAx-y6,4207,Ozark-Ouachita Mesic Hardwood Forest                                                               ,year-round,Southeast,4207,Central Midwest Mesic Forest
9326,Eurycea lucifuga,Cave Salamander,aCVSAx,aCVSAx-y6,9850,South-Central Interior Small Stream and Riparian                                                   ,year-round,Southeast,9850,Central Hardwoods Floodplain Forest
3262,Eurycea lucifuga,Cave Salamander,aCVSAx,aCVSAx-y6,4104,Northeastern Interior Dry Oak Forest-Hardwood Modifier                                             ,year-round,Southeast,4104,Appalachian-Northeastern Oak - Hardwood - Pine Forest & Woodland
6652,Eurycea lucifuga,Cave Salamander,aCVSAx,aCVSAx-y6,4117,East Gulf Coastal Plain Northern Dry Upland Hardwood Forest                                        ,year-round,Southeast,4117,Southern & South-Central Oak - Hickory - Pine Forest & Woodland
8131,Eurycea lucifuga,Cave Salamander,aCVSAx,aCVSAx-y6,4125,Southern and Central Appalachian Oak Forest                                                        ,year-round,Southeast,4125,Appalachian-Northeastern Oak - Hardwood - Pine Forest & Woodland
6516,Eurycea lucifuga,Cave Salamander,aCVSAx,aCVSAx-y6,4106,Northeastern Interior Dry Oak Forest - Mixed Modifier                                              ,year-round,Southeast,4106,Appalachian-Northeastern Oak - Hardwood - Pine Forest & Woodland
1838,Eurycea lucifuga,Cave Salamander,aCVSAx,aCVSAx-y6,4313,Northern Atlantic Coastal Plain Dry Hardwood Forest                                                ,year-round,Southeast,4313,Southern & South-Central Oak - Hickory - Pine Forest & Woodland
5505,Eurycea lucifuga,Cave Salamander,aCVSAx,aCVSAx-y6,4103,East Gulf Coastal Plain Northern Loess Plain Oak-Hickory Upland - Hardwood Modifier                ,year-round,Southeast,4103,Southern & South-Central Oak - Hickory - Pine Forest & Woodland
5455,Eurycea lucifuga,Cave Salamander,aCVSAx,aCVSAx-y6,9851,East Gulf Coastal Plain Small Stream and River Floodplain Forest                                   ,year-round,Southeast,9851,Southern Coastal Plain Floodplain Forest
8041,Eurycea lucifuga,Cave Salamander,aCVSAx,aCVSAx-y6,4114,Northeastern Interior Dry-Mesic Oak Forest                                                         ,year-round,Southeast,4114,Appalachian-Northeastern Oak - Hardwood - Pine Forest & Woodland
1593,Eurycea lucifuga,Cave Salamander,aCVSAx,aCVSAx-y6,4402,South-Central Interior Mesophytic Forest                                                           ,year-round,Southeast,4402,Appalachian-Central Interior-Northeastern Mesic Forest
9013,Eurycea lucifuga,Cave Salamander,aCVSAx,aCVSAx-y6,4205,East Gulf Coastal Plain Northern Mesic Hardwood Forest                                             ,year-round,Southeast,4205,Southern Mesic Mixed Broadleaf Forest
8306,Eurycea lucifuga,Cave Salamander,aCVSAx,aCVSAx-y6,4331,Appalachian Hemlock-Hardwood Forest                                                                ,year-round,Southeast,4331,Appalachian-Central Interior-Northeastern Mesic Forest
1763,Plethodon cinereus,Eastern Red-backed Salamander,aERBSx,aERBSx-y2,4116,Southern Interior Low Plateau Dry-Mesic Oak Forest                                                 ,year-round,Upper Midwest,4116,Southern & South-Central Oak - Hickory - Pine Forest & Woodland
3121,Plethodon cinereus,Eastern Red-backed Salamander,aERBSx,aERBSx-y2,4330,Central Appalachian Oak and Pine Forest                                                            ,year-round,Upper Midwest,4330,Appalachian-Northeastern Oak - Hardwood - Pine Forest & Woodland
5893,Plethodon cinereus,Eastern Red-backed Salamander,aERBSx,aERBSx-y2,4326,Boreal White Spruce-Fir-Hardwood Forest                                                            ,year-round,Upper Midwest,4326,West-Central North American Boreal Forest
655,Plethodon cinereus,Eastern Red-backed Salamander,aERBSx,aERBSx-y2,4113,Laurentian-Acadian Northern Hardwoods Forest                                                       ,year-round,Upper Midwest,4113,Laurentian-Acadian Hardwood - Conifer Mesic Forest
5708,Plethodon cinereus,Eastern Red-backed Salamander,aERBSx,aERBSx-y2,4123,North-Central Interior Beech-Maple Forest                                                          ,year-round,Upper Midwest,4123,Central Midwest Mesic Forest
2993,Plethodon cinereus,Eastern Red-backed Salamander,aERBSx,aERBSx-y2,4124,North-Central Interior Maple-Basswood Forest                                                       ,year-round,Upper Midwest,4124,Central Midwest Mesic Forest
1615,Plethodon cinereus,Eastern Red-backed Salamander,aERBSx,aERBSx-y2,4402,South-Central Interior Mesophytic Forest                                                           ,year-round,Upper Midwest,4402,Appalachian-Central Interior-Northeastern Mesic Forest
8226,Plethodon cinereus,Eastern Red-backed Salamander,aERBSx,aERBSx-y2,4323,Laurentian-Acadian Northern Pine-(Oak) Forest                                                      ,year-round,Upper Midwest,4323,Laurentian & Acadian Pine - Hardwood Forest & Woodland
5561,Plethodon cinereus,Eastern Red-backed Salamander,aERBSx,aERBSx-y2,4120,North-Central Interior Dry-Mesic Oak Forest and Woodland                                           ,year-round,Upper Midwest,4120,"Central Midwest Oak Forest, Woodland & Savanna"
3688,Plethodon cinereus,Eastern Red-backed Salamander,aERBSx,aERBSx-y2,4327,Laurentian-Acadian Pine-Hemlock-Hardwood Forest                                                    ,year-round,Upper Midwest,4327,Laurentian-Acadian Hardwood - Conifer Mesic Forest
8332,Plethodon cinereus,Eastern Red-backed Salamander,aERBSx,aERBSx-y2,4331,Appalachian Hemlock-Hardwood Forest                                                                ,year-round,Upper Midwest,4331,Appalachian-Central Interior-Northeastern Mesic Forest
3043,Plethodon cinereus,Eastern Red-backed Salamander,aERBSx,aERBSx-y2,4201,Boreal Aspen-Birch Forest                                                                          ,year-round,Upper Midwest,4201,Laurentian-Acadian Hardwood - Conifer Mesic Forest
8161,Plethodon cinereus,Eastern Red-backed Salamander,aERBSx,aERBSx-y2,4125,Southern and Central Appalachian Oak Forest                                                        ,year-round,Upper Midwest,4125,Appalachian-Northeastern Oak - Hardwood - Pine Forest & Woodland
5799,Plethodon cinereus,Eastern Red-backed Salamander,aERBSx,aERBSx-y2,4126,Allegheny-Cumberland Dry Oak Forest and Woodland - Hardwood                                        ,year-round,Upper Midwest,4126,Appalachian-Northeastern Oak - Hardwood - Pine Forest & Woodland
8068,Plethodon cinereus,Eastern Red-backed Salamander,aERBSx,aERBSx-y2,4114,Northeastern Interior Dry-Mesic Oak Forest                                                         ,year-round,Upper Midwest,4114,Appalachian-Northeastern Oak - Hardwood - Pine Forest & Woodland
1857,Plethodon cinereus,Eastern Red-backed Salamander,aERBSx,aERBSx-y2,4313,Northern Atlantic Coastal Plain Dry Hardwood Forest                                                ,year-round,Upper Midwest,4313,Southern & South-Central Oak - Hickory - Pine Forest & Woodland
4503,Plethodon cinereus,Eastern Red-backed Salamander,aERBSx,aERBSx-y2,4121,North-Central Interior Dry Oak Forest and Woodland                                                 ,year-round,Upper Midwest,4121,"Central Midwest Oak Forest, Woodland & Savanna"
1613,Plethodon cinereus,Eastern Red-backed Salamander,aERBSx,aERBSx-y3,4402,South-Central Interior Mesophytic Forest                                                           ,year-round,Northeast,4402,Appalachian-Central Interior-Northeastern Mesic Forest
1933,Plethodon cinereus,Eastern Red-backed Salamander,aERBSx,aERBSx-y3,4302,Southern Piedmont Dry Oak-(Pine) Forest - Hardwood Modifier                                        ,year-round,Northeast,4302,Southern & South-Central Oak - Hickory - Pine Forest & Woodland
6594,Plethodon cinereus,Eastern Red-backed Salamander,aERBSx,aERBSx-y3,4109,Southern and Central Appalachian Oak Forest - Xeric                                                ,year-round,Northeast,4109,Appalachian-Northeastern Oak - Hardwood - Pine Forest & Woodland
3687,Plethodon cinereus,Eastern Red-backed Salamander,aERBSx,aERBSx-y3,4327,Laurentian-Acadian Pine-Hemlock-Hardwood Forest                                                    ,year-round,Northeast,4327,Laurentian-Acadian Hardwood - Conifer Mesic Forest
3119,Plethodon cinereus,Eastern Red-backed Salamander,aERBSx,aERBSx-y3,4330,Central Appalachian Oak and Pine Forest                                                            ,year-round,Northeast,4330,Appalachian-Northeastern Oak - Hardwood - Pine Forest & Woodland
8225,Plethodon cinereus,Eastern Red-backed Salamander,aERBSx,aERBSx-y3,4323,Laurentian-Acadian Northern Pine-(Oak) Forest                                                      ,year-round,Northeast,4323,Laurentian & Acadian Pine - Hardwood Forest & Woodland
8066,Plethodon cinereus,Eastern Red-backed Salamander,aERBSx,aERBSx-y3,4114,Northeastern Interior Dry-Mesic Oak Forest                                                         ,year-round,Northeast,4114,Appalachian-Northeastern Oak - Hardwood - Pine Forest & Woodland
1855,Plethodon cinereus,Eastern Red-backed Salamander,aERBSx,aERBSx-y3,4313,Northern Atlantic Coastal Plain Dry Hardwood Forest                                                ,year-round,Northeast,4313,Southern & South-Central Oak - Hickory - Pine Forest & Woodland
5797,Plethodon cinereus,Eastern Red-backed Salamander,aERBSx,aERBSx-y3,4126,Allegheny-Cumberland Dry Oak Forest and Woodland - Hardwood                                        ,year-round,Northeast,4126,Appalachian-Northeastern Oak - Hardwood - Pine Forest & Woodland
5559,Plethodon cinereus,Eastern Red-backed Salamander,aERBSx,aERBSx-y3,4120,North-Central Interior Dry-Mesic Oak Forest and Woodland                                           ,year-round,Northeast,4120,"Central Midwest Oak Forest, Woodland & Savanna"
3196,Plethodon cinereus,Eastern Red-backed Salamander,aERBSx,aERBSx-y3,4101,Central and Southern Appalachian Northern Hardwood Forest                                          ,year-round,Northeast,4101,Appalachian-Central Interior-Northeastern Mesic Forest
1046,Plethodon cinereus,Eastern Red-backed Salamander,aERBSx,aERBSx-y3,4202,Southern Piedmont Mesic Forest                                                                     ,year-round,Northeast,4202,Appalachian-Central Interior-Northeastern Mesic Forest
8745,Plethodon cinereus,Eastern Red-backed Salamander,aERBSx,aERBSx-y3,4403,Atlantic Coastal Plain Mesic Hardwood and Mixed Forest                                             ,year-round,Northeast,4403,Southern Mesic Mixed Broadleaf Forest
756,Plethodon cinereus,Eastern Red-backed Salamander,aERBSx,aERBSx-y3,4133,Atlantic Coastal Plain Dry and Dry-Mesic Oak Forest                                                ,year-round,Northeast,4133,Southern & South-Central Oak - Hickory - Pine Forest & Woodland
